,passenger_id,pclass,sex,age,fare,embarked,survived
625,924,3,male,34.5,7.8292,Q,0
627,415,2,female,34.0,13.0,S,1
628,1201,3,male,22.0,7.2292,C,0
632,553,2,female,21.0,10.5,S,1
633,911,3,male,21.0,8.4333,S,0
634,878,3,female,25.0,7.925,S,0
636,336,2,male,32.0,26.0,S,1
637,641,3,male,3.0,31.3875,S,1
639,520,2,male,20.0,13.8625,C,1
640,79,1,female,55.0,25.7,S,1
642,153,1,female,24.0,83.1583,C,1
643,1266,3,male,36.0,24.15,S,0
645,975,3,female,26.0,16.1,S,0
646,73,1,female,22.0,151.55,S,1
647,514,2,male,2.0,26.0,S,1
648,863,3,male,28.0,7.8958,S,0
649,11,1,female,18.0,227.525,C,1
650,583,2,female,40.0,15.75,S,1
651,630,3,male,27.0,7.7958,S,1
652,995,3,male,35.0,7.8958,C,0
653,1271,3,male,28.0,9.5,S,0
654,326,2,male,18.0,11.5,S,0
655,96,1,male,50.0,106.425,C,0
656,1234,3,male,25.0,7.05,S,0
657,480,2,male,25.0,41.5792,C,0
659,1089,3,male,20.0,9.225,S,0
660,638,3,male,35.0,7.05,S,0
661,160,1,female,44.0,57.9792,C,1
664,688,3,male,29.0,7.0458,S,0
665,322,1,female,36.0,135.6333,C,1
667,398,2,male,8.0,32.5,S,1
668,1058,3,female,29.0,7.925,S,0
669,1082,3,male,9.0,3.1708,S,1
670,965,3,male,24.0,9.5,S,0
671,591,2,female,5.0,27.75,S,1
672,905,3,male,32.0,7.8542,S,1
673,359,2,male,0.8333,29.0,S,1
674,1259,3,male,36.0,7.8958,S,0
675,214,1,female,23.0,113.275,C,1
676,881,3,male,21.0,7.7958,S,1
677,679,3,female,9.0,15.2458,C,0
678,849,3,male,26.0,7.8542,S,0
679,629,3,male,39.0,31.275,S,0
681,691,3,male,35.0,8.05,S,0
682,388,2,female,28.0,13.0,S,1
683,143,1,male,25.0,55.4417,C,1
684,374,2,male,29.0,10.5,S,0
685,120,1,male,43.0,27.7208,C,1
687,1010,3,male,24.0,16.1,S,0
689,770,3,male,36.0,7.25,S,0
691,859,3,female,18.0,6.75,Q,0
692,880,3,male,29.0,7.8958,C,1
693,310,1,male,57.0,164.8667,S,0
694,683,3,male,40.0,15.5,Q,0
695,730,3,male,27.0,7.8958,S,0
696,981,3,male,32.0,7.5792,S,1
697,996,3,male,33.0,7.8958,S,0
698,450,2,male,50.0,13.0,S,0
699,1084,3,male,42.0,8.4042,S,0
700,210,1,male,55.0,30.5,S,0
701,864,3,female,28.0,7.775,S,0
702,203,1,male,28.0,82.1708,C,0
704,759,3,female,36.0,17.4,S,1
705,29,1,male,28.0,26.55,S,1
707,213,1,female,31.0,113.275,C,1
708,674,3,male,32.0,56.4958,S,1
709,697,3,female,30.0,8.6625,S,0
710,129,1,female,35.0,211.5,C,1
711,353,2,female,20.0,26.0,S,1
712,1086,3,female,31.0,7.8542,S,0
713,586,2,female,29.0,26.0,S,1
714,116,1,female,60.0,263.0,S,1
715,867,3,female,22.0,12.2875,S,1
716,348,2,male,27.0,13.0,S,0
718,1205,3,female,18.0,7.4958,S,1
719,314,1,female,50.0,211.5,C,1
722,607,3,female,18.0,7.2292,C,1
723,715,3,male,29.0,8.05,S,0
724,1217,3,male,19.0,7.65,S,0
725,1182,3,female,21.0,7.65,S,1
726,1233,3,male,44.0,7.925,S,1
727,481,2,female,22.0,41.5792,C,1
728,889,3,male,26.0,7.775,S,1
729,1131,3,male,32.0,8.05,S,1
731,39,1,male,48.0,50.4958,C,0
732,225,1,male,23.0,93.5,S,0
733,1235,3,male,74.0,7.775,S,0
735,1062,3,male,21.0,7.8542,S,0
738,1024,3,male,25.0,7.65,S,0
739,669,3,male,19.0,8.05,S,0
740,226,1,male,29.0,66.6,S,0
743,584,2,female,32.5,13.0,S,1
746,188,1,female,51.0,39.4,S,1
747,263,1,female,39.0,55.9,S,1
749,372,2,male,29.0,26.0,S,0
750,776,3,male,32.0,7.75,Q,0
751,18,1,female,32.0,76.2917,C,1
752,198,1,female,18.0,53.1,S,1
753,26,1,male,25.0,91.0792,C,1
754,262,1,male,50.0,55.9,S,0
755,729,3,male,35.0,7.8958,S,0
756,42,1,female,59.0,51.4792,S,1
757,1143,3,male,7.0,29.125,Q,0
758,91,1,male,31.0,57.0,S,1
759,1,1,male,0.9167,151.55,S,1
760,809,3,male,18.0,34.375,S,0
761,726,3,female,30.0,7.6292,Q,0
762,257,1,female,35.0,57.75,C,1
764,561,2,male,59.0,13.5,S,0
765,731,3,male,19.0,7.8958,S,0
766,24,1,female,29.0,221.7792,S,1
767,1050,3,female,19.0,15.7417,C,1
768,648,3,male,21.0,7.225,C,0
769,1298,3,male,36.0,9.5,S,0
770,13,1,female,26.0,78.85,S,1
771,562,2,female,30.0,12.35,Q,1
772,64,1,male,27.0,53.1,S,1
773,1133,3,male,17.0,8.6625,S,0
774,1160,3,male,50.0,8.05,S,0
775,82,1,female,36.0,71.0,S,1
776,912,3,male,30.0,7.8958,S,0
777,161,1,female,51.0,77.9583,S,1
779,308,1,female,55.0,135.6333,C,1
781,582,2,female,12.0,15.75,S,1
782,154,1,male,55.0,93.5,S,0
783,1011,3,female,19.0,16.1,S,0
784,246,1,male,55.0,59.4,C,0
785,1260,3,female,18.0,9.8417,S,1
786,564,2,female,40.0,13.0,S,1
788,255,1,female,24.0,69.3,C,1
789,829,3,female,16.0,46.9,S,0
790,183,1,male,35.0,512.3292,C,1
791,444,2,male,21.0,73.5,S,0
792,304,1,female,60.0,75.25,C,1
793,8,1,female,53.0,51.4792,S,1
795,778,3,female,30.0,12.475,S,1
796,49,1,male,36.0,512.3292,C,1
797,465,2,female,23.0,13.7917,C,1
798,1101,3,male,1.0,39.6875,S,0
799,909,3,male,32.0,7.925,S,1
800,941,3,male,25.0,7.2292,C,1
801,418,2,male,47.0,10.5,S,0
802,1287,3,male,51.0,7.75,S,0
803,748,3,male,34.0,14.4,S,0
804,312,1,male,50.0,211.5,C,0
805,1206,3,male,4.0,27.9,S,0
806,1226,3,male,19.0,7.8958,S,0
807,261,1,male,35.0,26.2875,S,1
808,466,2,male,34.0,26.0,S,0
809,1210,3,male,40.0,27.9,S,0
810,464,2,male,32.0,10.5,S,0
811,577,2,female,31.0,21.0,S,1
812,1045,3,male,18.0,7.75,S,0
813,820,3,male,9.0,20.525,S,1
815,243,1,male,46.0,79.2,C,0
816,1306,3,male,26.5,7.225,C,0
817,239,1,male,31.0,50.4958,S,0
818,386,2,male,18.0,73.5,S,0
819,532,2,male,41.0,13.0,S,0
822,754,3,male,21.0,24.15,S,0
823,855,3,male,11.0,18.7875,C,0
824,1188,3,female,24.0,16.7,S,1
825,693,3,male,21.0,7.8208,Q,1
826,253,1,female,48.0,262.375,C,1
827,892,3,male,31.0,7.775,S,0
829,94,1,male,4.0,81.8583,S,1
830,104,1,female,54.0,78.2667,C,1
831,217,1,male,64.0,26.0,S,0
832,306,1,male,54.0,77.2875,S,0
833,487,2,male,61.0,12.35,Q,0
834,61,1,female,76.0,78.85,S,1
835,345,2,male,23.0,13.0,S,0
837,102,1,female,23.0,83.1583,C,1
838,333,2,female,36.0,13.0,S,1
839,62,1,male,46.0,61.175,S,0
840,1256,3,male,7.0,15.2458,C,1
841,208,1,female,37.0,90.0,Q,1
842,709,3,female,16.0,7.75,Q,1
843,1288,3,male,18.0,6.4958,S,0
844,165,1,male,38.0,90.0,S,1
845,158,1,male,55.0,50.0,S,0
846,174,1,male,58.0,29.7,C,0
847,467,2,female,24.0,26.0,S,1
848,1112,3,female,3.0,13.775,S,0
849,425,2,male,52.0,13.0,S,0
